"","Outside","Employer","Employee","Self employed","Unpaid family worker","Category","Index"
"1",1.44880488851795,1.49043248941942,1.39928241754374,1.35282466850591,1.37575992345108,"Etnik_Melayu","Entropy"
"2",1.51859252787018,1.58209009847737,1.56406503075791,1.49435604311631,1.46579351478137,"Etnik_Cina","Entropy"
"3",1.26591381338756,1.50438161634089,1.31255886182758,1.17802340714579,1.2770796465309,"Etnik_India","Entropy"
"4",0.23965353514214,0.456357517201972,0.270568114711092,0.231725859026067,0.0756534996674175,"Etnik_Lain","Entropy"
"5",1.56576832576982,1.59224531428708,1.55889162491497,1.39798069687077,1.49166526229822,"Jantina/male","Entropy"
"6",1.55026423860891,1.58686256924009,1.58106846260466,1.40815137875368,1.25651402478265,"Jantina/Female","Entropy"
"7",1.44024187589924,0.636491060888752,1.35109858741952,0.963722373139278,0.727943684952813,"Pendidikan/TPR","Entropy"
"8",1.52644040958729,1.38629436111989,1.49414028919284,1.36297726866284,1.28416867279368,"Pendidikan/Rendah","Entropy"
"9",1.56848470661916,1.57847774023256,1.58274324038436,1.50218642912455,1.53130953261984,"Pendidikan/Menengah","Entropy"
"10",1.5901062063731,1.60358290266974,1.56993127449804,1.51066197158303,1.566373732543,"Pendidikan/Tertiari","Entropy"
"11",1.54783806248317,1.59126448432944,1.58456223469237,1.48764621802615,1.51428227428507,"Strata/Urban","Entropy"
"12",1.45552526454541,1.5599699677821,1.36977209421735,1.19122759100958,1.06360679447813,"Strata/Rural","Entropy"
