NAMA_PERNIAGAAN,CATEGORY,MSIC_KETERANGAN,MSIC_5D
MD ROS B ATIM,TERNAKAN KERBAU KERBAU,"Penternakan, pembiakan dan pengeluaran lembu atau kerbau",01411
TIADA MAKLUMAT,PAKAIAN,JUALAN RUNCIT DI KEDAI KHUSUS YANG MENJUAL TEKSTIL (2),47510
PUSAT TUISYEN VARIASI MINDA,LESEN TEMPAT MENGAJAR/JAGAAN,AKTIVITI KERJA SOSIAL LAIN TANPA PENGINAPAN T.T.T.L.(4),88909
TIEYAJAMAL HAIRCUT,TUKANG GUNTING  (4 - 8 HAIRDRESSER CHAIRS - A/C),DANDANAN RAMBUT DAN PENJAGAAN KECANTIKAN LAIN,96020
KELLY NAIL & BEAUTY,"LESEN KEDAI PERSOLEKAN, PUSAT KECANTIKAN KUKU","AKTIVITI SAUNA, MANDIAN STIM, SALON MENGURUT",96091
DZUNUN ENTERPRISE,IKLAN TIDAK BERCAHAYA,PENGIKLANAN,73100
KEDAI NURUL AMANI,LSN KEDAI PAKAIAN,"JUALAN RUNCIT PAKAIAN, ARTIKEL BAGI BULU BINATANG DAN AKSESORI PAKAIAN(2)",47711
PENJAJA STATIK (MAKANAN & MINUMAN),PENJAJA STATIK,GERAI/PENJAJA MAKANAN,56106
PERMODALAN KELANTAN BERHAD,IKLAN TERANJUR BERSINAR [3 X 8'],JAHITAN PAKAIAN TEMPAHAN,18120
ZURA BEAUTY BOUTIQUE K6/A4 (5),14-001-05 : TRED LAIN YG TDK DIPERUNTUK BAWAH UNDANG 15-001-35 : PAPAN IKLAN TIDAK BERSINAR,DANDANAN RAMBUT DAN PENJAGAAN KECANTIKAN LAIN,96020
